,ID Number,Degree,Major,Honors,Departmental Honors,Printed Name,Phonetic Spelling,First Name,Middle Name,Last Name,Grad Date,Street Address,"Apt., Ste., Bldg.",City,State,Province,Postal Code,Country,Phone,Email,ID Number.1,Notes,Extra Notes,NO,Unnamed: 24,Unnamed: 25,Unnamed: 26
0,M2801226,B.A.,Biology,Magna Cum Laude ,,Ema R. Pww,EmaPww,Ema,R,Pww,2022-05-02 00:00:00,XXXXXXX,,Atlanta,GA,,30310,USA,(667)566-2609,Ema.Pww@my.fisk.edu,M2801226,Dept Approved,Late Submission,,,,
1,R9486952,B.A.,Biology,Cum Laude ,,Qlsoyco N. Kfwtcosij,QlsoycoKfwtcosij,Qlsoyco,Nwjhs,Kfwtcosij,2022-05-02 00:00:00,XXXXXXX,,Chesapeake,VA,,23324,USA,(309)175-7609,Qlsoyco.Kfwtcosij@my.fisk.edu,R9486952,Dept Approved,"2 pending classes, has 120 credit hours",,,,
2,U4577939,B.A.,Biology,,,Cdbxuok Q. Jon,CdbxuokJon,Cdbxuok,Qe,Jon,2022-05-02 00:00:00,XXXXXXX,,Chicago,IL,,60615,USA,(648)694-7128,Cdbxuok.Jon@my.fisk.edu,U4577939,Dept Approved,,,,,
3,V1255233,B.A.,Biology,,,Ddblqbmvh S. Upejiqc,DdblqbmvhUpejiqc,Ddblqbmvh,Sexw,Upejiqc,2022-05-02 00:00:00,XXXXXXX,,Columbia,MD,,21045,USA,(324)829-9802,Ddblqbmvh.Upejiqc@my.fisk.edu,V1255233,Dept Approved,121 hrs/3.08 GPA,,,,
4,V5793468,B.A.,Biology,,,Kqgqjcm X. Tzthy,KqgqjcmTzthy,Kqgqjcm,Xfed,Tzthy,2022-05-02 00:00:00,XXXXXXX,,Orlando,FL,,32818,USA,(318)189-4453,Kqgqjcm.Tzthy@my.fisk.edu,V5793468,Dept Approved,121 hrs/3.0 GPA,,,,
5,L5479570,B.A.,Biology,Magna Cum Laude ,,Uhy M. Sdth,UhySdth,Uhy,M,Sdth,2022-05-02 00:00:00,XXXXXXX,,Holyoke,MA,,01040,USA,(711)636-2881,Uhy.Sdth@my.fisk.edu,L5479570,Dept Approved,136 hrs/3.67 GPA,,,,
6,U2045201,B.A.,Biology,,,Iajncnch X. Piakzp,IajncnchPiakzp,Iajncnch,Xh,Piakzp,2022-05-02 00:00:00,XXXXXXX,,Baltimore,MD,,21206,USA,(990)620-8999,Iajncnch.Piakzp@my.fisk.edu,U2045201,Dept Approved,"All grades entered, 124 credits",,,,
7,D4765966,B.A.,Biology,,,Waojv U. Tvvgadz,WaojvTvvgadz,Waojv,Upt,Tvvgadz,2022-05-02 00:00:00,XXXXXXX,,Chicago,IL,,60622,USA,(855)881-4265,Waojv.Tvvgadz@my.fisk.edu,D4765966,Dept Approved,140 hrs/2.95 GPA (Email from Dr. Freeman 4/27/2022 Student has not met the requirements to walk in gradution),x,,,
8,C2979811,B.A.,Biology,,,Qhzgmchny Q. Kdcntw,QhzgmchnyKdcntw,Qhzgmchny,Quudr,Kdcntw,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37211,USA,(683)543-6700,Qhzgmchny.Kdcntw@my.fisk.edu,C2979811,Dept Approved,133 hrs/2.96 GPA,,,,
9,Q4895687,B.A.,Biology,Cum Laude ,,Mukro U. Ufckw,MukroUfckw,Mukro,U,Ufckw,2022-05-01 00:00:00,XXXXXXX,,College Park,GA,,30349,USA,(992)553-5104,Mukro.Ufckw@my.fisk.edu,Q4895687,Dept Approved,,,,,
